Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalient es,1 849,1 274,955,S.R.,2,S.R.,3,S.R.,1 857,5 9 4 0
Baja California,5 365,8 514,963,241,S.R.,S.R.,14,12,1 528,1 6 6 3 7
Baja California Sur,750,926,126,S.R.,S.R.,S.R.,3,1,S.R.,1 8 0 6
Campeche,1 243,547,241,250,3,48,3,29,1,2 3 6 5
Coahuila,1 009,3 666,6 510,328,4,S.R.,3,S.R.,1 741,1 3 2 6 1
Colima,935,750,20,S.R.,7,S.R.,6,5,64,1 7 8 7
Chiapas,4 920,3 613,3 152,1 253,S.R.,57,226,42,251,1 3 5 1 4
Chihuahua,4 392,8 301,1 082,335,S.R.,S.R.,108,S.R.,3 782,1 8 0 0 0
Dist rit o Federal,12 288,7 629,7 820,34,290,299,354,125,1 768,3 0 6 0 7
Durango,1 238,3 168,3 586,421,0,S.R.,5,S.R.,860,9 2 7 8
Guanajuat o,8 155,5 626,999,77,S.R.,112,101,S.R.,876,1 5 9 4 6
Guerrero,6 663,3 288,3 636,142,S.R.,S.R.,134,206,0,1 4 0 6 9
Hidalgo,4 083,1 929,1 237,925,0,112,4,S.R.,37,8 3 2 7
Jalisco,6 790,13 860,3 824,35,114,19,44,33,8 825,3 3 5 4 4
M ‚xico,24 858,11 812,5 961,205,5 123,S.R.,702,S.R.,9 466,5 8 1 2 7
M ichoac n,4 251,3 767,3 277,1 455,S.R.,S.R.,0,8,S.R.,1 2 7 5 8
M orelos,2 551,5 126,4 200,41,S.R.,S.R.,12,S.R.,S.R.,1 1 9 3 0
Nayarit,1 026,1 078,1 486,359,54,S.R.,0,3,65,4 0 7 1
Nuevo Le¢n,3 251,8 843,652,13,S.R.,87,107,S.R.,4 003,1 6 9 5 6
Oaxaca,5 043,2 211,2 222,2 143,81,164,29,23,85,1 2 0 0 1
Puebla,4 686,6 449,2 166,1 590,91,81,7,S.R.,1 323,1 6 3 9 3
Quer‚t aro,2 293,1 784,572,5,60,S.R.,28,S.R.,149,4 8 9 1
Quint ana Roo,1 575,1 265,401,S.R.,S.R.,S.R.,1,0,0,3 2 4 2
San Luis Pot os¡,4 382,4 501,1 575,1 399,S.R.,14,77,S.R.,162,1 2 1 1 0
Sinaloa,7 500,5 859,654,398,394,9,9,65,1 157,1 6 0 4 5
Sonora,2 422,6 320,940,21,S.R.,S.R.,1,8,254,9 9 6 6
Tabasco,2 932,3 062,823,S.R.,S.R.,510,146,36,632,8 1 4 1
Tamaulipas,4 023,5 007,3 734,381,4,311,20,117,74,1 3 6 7 1
Tlaxcala,1 148,1 523,877,31,119,S.R.,4,S.R.,53,3 7 5 5
Veracruz,7 741,10 182,3 465,2 848,79,923,349,591,69,2 6 2 4 7
Yucat  n,1 409,3 096,1 038,588,26,S.R.,80,0,428,6 6 6 5
Zacat ecas,1 861,1 719,284,919,75,S.R.,5,S.R.,212,5 0 7 5
TOTAL GLOBAL,1 4 2 6 3 2,1 4 6 6 9 5,6 8 4 7 8,1 6 4 3 7,6 5 2 6,2 7 4 6,2 5 8 5,1 3 0 4,3 9 7 2 2,4 2 7 1 2 5
