Estado,SALUD,IMSS-ORD,ISSSTE,IMSS-OP ,DIF,PEMEX,SEDENA,SEMAR,OTRAS,Total
Aguascalientes,1 072,576,175,S/ R,22,S/ R,0,S/ R,1 241,3 0 8 6
Baja California,2 538,4 332,529,98,S/ R,S/ R,3,10,513,8 0 2 3
Baja California Sur,342,545,78,S/ R,S/ R,S/ R,6,6,S/ R,9 7 7
Campeche,788,323,151,115,10,9,1,15,7,1 4 1 9
Coahuila,696,4 254,1 284,241,3,S/ R,44,S/ R,1 675,8 1 9 7
Colima,487,353,16,S/ R,1,S/ R,17,10,20,9 0 4
Chiapas,3 132,1 958,1 871,851,S/ R,68,1,18,213,8 1 1 2
Chihuahua,2 715,5 444,583,204,S/ R,S/ R,19,S/ R,2 431,1 1 3 9 6
Distrito Federal,6 690,5 523,5 377,2,222,116,230,27,762,1 8 9 4 9
Durango,870,2 026,1 955,185,0,S/ R,2,S/ R,174,5 2 1 2
Guanajuato,5 049,3 299,408,23,S/ R,61,65,S/ R,575,9 4 8 0
Guerrero,3 595,1 861,2 466,73,S/ R,S/ R,52,58,S/ R,8 1 0 5
Hidalgo,2 215,1 059,590,469,0,43,0,S/ R,22,4 3 9 8
Jalisco,4 594,7 005,1 906,13,72,60,37,2,4 038,1 7 7 2 7
M‚xico,14 739,9 673,3 527,11,3 061,S/ R,496,S/ R,2 396,3 3 9 0 3
M ichoac n,2 210,2 577,3 051,843,S/ R,S/ R,0,20,S/ R,8 7 0 1
M orelos,1 554,2 828,1 211,17,S/ R,S/ R,29,S/ R,S/ R,5 6 3 9
Nayarit,587,505,874,56,20,S/ R,0,11,22,2 0 7 5
Nuevo Le¢n,1 798,4 545,342,11,S/ R,49,42,S/ R,2 116,8 9 0 3
Oaxaca,4 140,1 256,1 621,999,56,73,2,3,26,8 1 7 6
Puebla,2 233,3 671,2 084,1 019,73,67,0,S/ R,789,9 9 3 6
Quer‚taro,1 676,1 005,351,10,96,S/ R,45,S/ R,38,3 2 2 1
Quintana Roo,636,676,347,S/ R,S/ R,S/ R,5,5,S/ R,1 6 6 9
San Luis Potos¡,2 442,2 655,991,749,S/ R,9,63,S/ R,64,6 9 7 3
Sinaloa,3 870,2 685,336,173,228,1,3,24,759,8 0 7 9
Sonora,1 417,3 642,491,8,S/ R,S/ R,6,21,149,5 7 3 4
Tabasco,1 818,1 591,440,S/ R,S/ R,204,18,4,370,4 4 4 5
Tamaulipas,2 402,3 465,2 328,175,0,187,6,26,37,8 6 2 6
Tlaxcala,754,799,667,36,0,S/ R,0,S/ R,25,2 2 8 1
Veracruz,4 822,5 633,1 588,1 505,46,511,97,481,3,1 4 6 8 6
Yucat n,1 134,2 511,836,325,38,S/ R,0,0,121,4 9 6 5
Zacatecas,947,918,154,399,45,S/ R,0,S/ R,65,2 5 2 8
TOTAL  GLOBAL,8 3 9 6 2,8 9 1 9 3,3 8 6 2 8,8 6 1 0,3 9 9 3,1 4 5 8,1 2 8 9,7 4 1,1 8 6 5 1,2 4 6 5 2 5
