Estado,< 1,1 a 4,5 a 9,10 a 14,15 a 19,20 a 24,25 a 44,45 a 49,50 a 59,60 a 64,65 >,Ign.,Total
Aguascalientes,0,0,0,0,0,15,519,367,684,319,453,0,2357
Baja California,4,1,1,11,15,131,1505,906,2005,925,1329,17,6850
Baja California Sur,0,0,0,0,4,1,289,103,251,96,103,0,847
Campeche,0,1,0,0,3,12,218,186,275,82,129,1,907
Coahuila,0,2,1,1,4,50,1070,719,1707,851,1150,49,5604
Colima,0,0,0,0,0,5,234,97,231,92,146,2,807
Chiapas,0,1,6,5,14,20,1006,655,1402,565,1034,21,4729
Chihuahua,0,1,2,16,7,35,1919,1009,2118,909,1617,2,7635
Distrito Federal,0,1,3,4,16,85,2817,1920,4085,2269,3131,14,14345
Durango,0,0,0,0,0,15,628,442,967,405,883,0,3340
Guanajuato,0,0,2,3,11,45,1572,873,1833,865,1374,0,6578
Guerrero,0,0,0,3,8,31,1105,693,1555,646,1036,41,5118
Hidalgo,0,0,1,2,9,24,494,340,801,431,629,0,2731
Jalisco,1,2,3,8,23,91,2659,1710,3654,1897,3390,34,13472
M ‚xico,2,2,9,9,48,213,4796,3281,6768,3530,5022,71,23751
M ichoac n,0,0,6,0,0,31,950,726,1724,1023,1842,16,6318
M orelos,0,0,1,4,1,23,694,518,1175,629,1119,5,4169
Nayarit,0,0,0,0,0,11,333,191,462,176,344,3,1520
Nuevo Le¢n,0,2,7,13,17,61,1618,942,1965,983,1451,7,7066
Oaxaca,0,0,2,2,5,41,1121,703,1387,675,1068,7,5011
Puebla,0,1,1,3,11,37,1138,856,1940,971,1683,5,6646
Quer‚taro,0,0,0,0,1,8,617,316,693,232,432,0,2299
Quintana Roo,0,1,1,2,2,19,441,221,351,137,170,0,1345
San Luis Potos¡,0,0,0,1,2,37,1116,649,1323,633,1012,0,4773
Sinaloa,0,0,0,0,8,17,1087,651,1820,817,1323,2,5725
Sonora,1,0,0,3,4,27,852,516,1219,479,926,3,4030
Tabasco,0,0,1,3,3,23,858,516,1002,402,511,2,3321
Tamaulipas,0,4,4,3,8,49,1202,890,1545,997,1399,5,6106
Tlaxcala,0,0,0,0,2,5,287,192,492,221,475,3,1677
Veracruz,0,2,0,6,17,49,1848,1153,2785,1272,2132,4,9268
Yucat n,0,0,0,0,6,17,764,371,974,501,779,4,3416
Zacatecas,0,0,0,0,0,9,402,245,511,180,398,1,1746
TOTAL GLOBAL,8,21,51,102,249,1237,36159,22957,49704,24210,38490,319,173507
