Estado,Tasa*,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,"31,944",3 534,528,368,281,319,342,238,329,169,238,263,226,233
Baja California,"38,220",11 441,1 103,1 013,951,1 113,961,907,1 030,904,926,1 051,858,624
Baja California Sur,"45,202",2 430,159,245,199,240,191,194,251,199,212,217,163,160
Campeche,"32,913",2 559,363,226,216,257,214,198,217,158,179,231,166,134
Coahuila,"54,185",13 947,1 418,1 139,1 351,1 512,1 069,1 127,1 234,1 061,1 056,1 242,962,776
Colima,"40,124",2 349,196,157,240,239,195,197,223,207,181,243,152,119
Chiapas,"28,997",12 793,961,1 080,1 054,1 421,938,1 126,1 442,1 140,971,1 044,885,731
Chihuahua,"46,220",15 377,1 199,1 222,1 191,1 414,1 169,1 206,1 437,1 311,1 294,1 588,1 221,1 125
Distrito Federal,"44,458",39 254,3 674,3 298,3 241,3 987,3 047,3 385,3 836,2 949,3 238,3 494,2 794,2 311
Durango,"46,722",7 187,727,592,581,628,656,567,670,524,503,678,577,484
Guanajuato,"29,668",14 820,1 696,1 355,1 388,1 541,1 207,1 320,1 250,1 048,1 136,1 308,891,680
Guerrero,"44,699",14 079,1 074,994,1 006,1 434,1 239,1 129,1 370,1 056,1 158,1 424,1 254,941
Hidalgo,"26,696",6 397,490,513,530,652,507,545,641,575,562,567,452,363
Jalisco,"49,037",33 851,2 743,2 709,2 895,3 310,2 760,2 687,3 246,2 672,2 729,3 364,2 564,2 172
M‚xico,"34,452",49 732,4 503,3 640,3 629,4 352,4 009,4 355,5 022,3 946,4 160,4 932,3 894,3 290
Michoac n,"31,717",12 659,1 109,1 029,893,1 050,1 218,1 109,1 131,1 039,1 202,1 201,916,762
Morelos,"69,525",11 461,1 277,927,867,1 140,803,804,1 284,1 301,755,916,792,595
Nayarit,"37,800",3 645,308,295,262,337,398,280,353,336,264,275,307,230
Nuevo Le¢n,"37,525",16 275,1 275,1 914,1 248,1 324,1 173,1 344,1 623,1 261,1 361,1 499,1 180,1 073
Oaxaca,"33,529",11 913,1 105,823,933,1 138,977,1 037,1 134,978,1 033,1 085,946,724
Puebla,"30,067",16 653,1 757,1 532,1 506,1 764,1 386,1 362,1 508,1 164,1 232,1 398,1 083,961
Quer‚taro,"25,822",4 285,363,273,320,409,333,312,425,367,357,453,372,301
Quintana Roo,"19,887",2 428,181,199,194,214,212,239,195,166,204,258,196,170
San Luis Potos¡,"41,164",10 133,896,864,737,920,882,868,1 035,748,884,867,782,650
Sinaloa,"56,992",15 066,1 325,1 240,1 128,1 480,1 218,1 272,1 476,1 190,1 281,1 397,1 152,907
Sonora,"33,551",8 266,810,700,779,732,612,685,845,683,670,747,561,442
Tabasco,"41,769",8 475,550,558,716,815,719,783,929,812,759,753,614,467
Tamaulipas,"47,490",14 798,1 314,1 172,1 252,1 729,1 451,1 309,1 492,1 158,1 194,1 192,870,665
Tlaxcala,"31,460",3 475,303,291,280,320,229,277,379,336,293,330,229,208
Veracruz,"30,564",22 135,1 783,1 682,1 838,2 069,1 747,1 963,2 237,1 872,1 830,2 029,1 757,1 328
Yucat n,"49,391",9 257,762,658,749,765,703,793,905,760,809,985,674,694
Zacatecas,"29,626",4 096,335,310,326,402,310,442,391,353,325,357,317,228
TOTAL GLOBAL,"38,261",404 770,36 287,33 018,32 781,39 027,32 875,34 060,39 540,32 443,32 996,37 388,29 807,24 548
